,Type,Date,Affected,Deaths,Relocated
281,Biological migration or loss,2001/3/0,0,0,0
282,Biological migration or loss,1983/4/25,0,0,0
283,Change in coastline,2008/10/0,0,0,0
284,Other,2001/3/0,0,0,0
285,Drought,1994/0/0,0,0,0
286,Fire,1994/4/18,0,0,0
287,Other,1994/4/8,0,0,0
288,Change in coastline,1983/9/0,0,0,0
289,Inundation,1983/6/11,0,0,0
290,Forestal fire,1980/5/0,2,0,0
291,Forestal fire,1980/4/8,0,0,0
292,Forestal fire,1980/4/8,0,0,0
293,Forestal fire,1980/4/8,0,0,0
294,Forestal fire,1980/4/7,0,0,0
295,Forestal fire,1980/4/7,0,0,0
296,Landslide,2008/11/0,0,0,0
297,Structural collapse,2008/12/30,1,0,0
298,Structural collapse,2008/12/26,0,0,0
299,Fire,2008/12/19,5,0,0
300,Structural collapse,2008/12/10,2,0,0
301,Structural collapse,2008/11/27,2,0,0
302,Fire,2008/11/26,3,0,0
303,Fire,2008/11/25,2,0,0
304,Fire,2008/11/14,1,0,0
305,Gale,2008/11/13,0,0,0
306,Fire,2008/11/7,2,0,0
307,Fire,2008/11/6,8,0,0
308,Other,2008/10/0,0,0,0
309,Landslide,2008/10/22,0,0,0
310,Landslide,2008/10/0,0,0,0
311,Inundation,2008/10/20,0,0,0
312,Gale,2008/10/15,0,0,0
313,Gale,2008/10/15,1,0,0
314,Inundation,2008/10/14,0,0,0
315,Structural collapse,2008/10/14,0,0,0
316,Inundation,2008/10/9,0,0,0
317,Inundation,2008/10/9,0,0,0
318,Fire,2013/12/17,0,0,0
319,Fire,2013/12/16,1,0,0
320,Fire,2013/11/16,6,0,0
321,Fire,2013/11/14,6,0,0
322,Fire,2013/11/14,10,0,0
323,Landslide,2013/11/13,0,0,0
324,Other,2013/10/26,1,0,0
325,Explosion,2013/10/10,0,0,0
326,Fire,2013/9/25,0,0,0
327,Fire,2013/9/20,5,0,0
328,Fire,2013/9/13,1,0,0
329,Gale,2013/9/2,0,0,0
330,Rainfall,2013/9/2,1,0,0
331,Inundation,2013/9/2,0,0,0
332,Fire,2013/8/8,0,0,0
333,Fire,2013/8/5,1,0,0
334,Fire,2013/6/29,4,0,0
335,Fire,2013/6/16,2,0,0
336,Fire,2013/6/4,7,0,0
337,Fire,2013/5/24,0,0,0
338,Fire,2013/4/23,1,0,0
339,Fire,2013/4/20,9,0,0
340,Other,2013/4/14,0,0,0
341,Other,2013/4/14,0,0,0
342,Other,2013/4/14,0,0,0
343,Fire,2013/4/5,1,0,0
344,Other,2013/4/1,2,0,0
345,Drought,2013/3/31,0,0,0
346,Drought,2013/3/31,0,0,0
347,Fire,2013/3/25,0,0,0
348,Fire,2013/3/22,3,0,0
349,Fire,2013/3/15,0,0,0
350,Fire,2013/3/15,0,0,0
351,Fire,2013/2/19,4,0,0
352,Fire,2013/2/18,4,0,0
353,Fire,2013/2/10,4,0,0
354,Fire,2013/2/10,7,0,0
355,Fire,2013/2/1,1,0,0
356,Fire,2013/1/16,0,0,0
357,Fire,2013/1/4,70,0,0
358,Fire,2013/1/1,0,0,0
359,Other,2006/12/24,0,0,0
360,Inundation,2006/11/14,0,0,0
361,Fire,2006/10/31,3,0,0
362,Fire,2006/10/23,0,0,0
363,Fire,2006/10/23,0,0,0
364,Fire,2006/10/12,0,0,0
365,Inundation,2006/10/10,0,0,0
366,Fire,2006/9/1,25,0,0
367,Fire,2006/8/26,10,0,0
368,Electrical storm,2006/8/22,0,0,0
369,Fire,2006/7/31,3,0,0
370,Fire,2006/7/24,8,0,0
371,Fire,2006/6/9,0,1,0
372,Fire,2006/6/1,0,0,0
373,Structural collapse,2006/5/31,1,0,0
374,Fire,2006/5/4,4,0,0
375,Fire,2006/3/30,7,0,0
376,Storm surge,2006/3/27,0,0,0
377,Fire,2006/3/26,0,0,0
378,Fire,2006/3/24,1,0,0
379,Fire,2006/3/15,2,0,0
380,Fire,2006/3/2,3,0,0
381,Fire,2006/2/22,0,0,0
382,Fire,2006/2/22,2,0,0
383,Fire,2006/2/17,6,0,0
384,Other,2006/2/2,1,0,0
385,Fire,2006/1/22,0,0,0
386,Explosion,2006/1/4,0,1,0
387,Fire,2005/12/30,0,0,0
388,Fire,2004/12/29,0,0,0
389,Fire,2004/12/28,1,0,0
390,Leak,2004/12/3,0,2,0
391,Landslide,2004/11/22,0,0,0
392,Inundation,2004/11/17,0,0,0
393,Inundation,2004/11/16,2,0,0
394,Inundation,2004/11/16,2,0,0
395,Inundation,2004/11/16,2,0,0
396,Fire,2004/11/15,1,0,0
397,Landslide,2004/11/12,9,0,0
398,Fire,2004/10/28,11,0,0
399,Inundation,2004/10/14,0,0,0
400,Fire,2004/10/2,4,0,0
401,Fire,2004/10/3,0,0,0
402,Inundation,2004/9/21,0,0,0
403,Fire,1999/9/21,1,1,0
404,Hurricane,2004/9/7,0,0,0
405,Hurricane,2004/9/7,0,0,0
406,Hurricane,2004/9/7,2,0,0
407,Hurricane,2004/9/7,0,0,0
408,Hurricane,2004/9/7,3,0,0
