,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
647,1347.0,EQ - Earthquake,Solomon Islands,SLB,1926/1/25,5,0,0,0,0,0,0,0.0,0
648,1346.0,EQ - Earthquake,Papua New Guinea,PNG,1922/1/19,0,0,0,0,0,0,0,0.0,0
649,1345.0,EQ - Earthquake,Papua New Guinea,PNG,1920/2/2,0,0,0,0,0,0,0,0.0,0
650,1344.0,EQ - Earthquake,Fiji,FJI,1919/10/3,0,0,0,0,0,0,0,1000000.0,0
651,1343.0,EQ - Earthquake,Papua New Guinea,PNG,1919/5/6,0,0,0,0,0,0,0,0.0,0
652,1342.0,EQ - Earthquake,Tonga,TON,1919/4/30,0,0,0,0,0,0,0,0.0,0
653,1341.0,EQ - Earthquake,Samoa,WSM,1917/6/26,0,0,0,0,0,0,0,1000000.0,0
654,1340.0,EQ - Earthquake,Papua New Guinea,PNG,1916/1/1,0,0,0,0,0,0,0,0.0,0
655,1339.0,SS - Storm Surge,Samoa,WSM,1915/2/11,0,0,0,3000,3000,0,0,0.0,0
656,1338.0,TC - Tropical Cyclone,Cook Islands,COK,1914/1/0,0,0,0,0,0,0,0,0.0,0
657,1337.0,EQ - Earthquake,Papua New Guinea,PNG,1913/5/30,0,0,0,0,0,0,0,0.0,0
658,1336.0,TC - Tropical Cyclone,Fiji,FJI,1912/1/28,0,0,0,0,0,0,0,0.0,0
659,1335.0,EQ - Earthquake,Vanuatu,VUT,1910/11/10,0,0,0,0,0,0,0,1000000.0,0
660,1334.0,EQ - Earthquake,Vanuatu,VUT,1909/7/8,0,0,0,0,0,0,0,1000000.0,0
661,1333.0,EQ - Earthquake,Cook Islands,COK,1909/3/7,0,0,0,0,0,0,0,1000000.0,0
662,1332.0,EQ - Earthquake,Papua New Guinea,PNG,1907/12/15,0,0,0,0,0,0,0,0.0,0
663,1331.0,EQ - Earthquake,Samoa,WSM,1907/10/6,0,0,0,0,0,0,0,0.0,0
664,1330.0,EQ - Earthquake,Tonga,TON,1907/1/2,0,0,0,0,0,0,0,0.0,0
665,1329.0,EQ - Earthquake,Papua New Guinea,PNG,1906/10/2,0,0,0,0,0,0,0,0.0,0
666,1328.0,EQ - Earthquake,Papua New Guinea,PNG,1906/9/14,101,0,0,0,0,0,0,5000000.0,0
667,1327.0,EQ - Earthquake,Fiji,FJI,1905/9/13,0,0,0,0,0,0,0,0.0,0
668,1326.0,TC - Tropical Cyclone,Marshall Islands,MHL,1905/6/30,0,0,0,0,0,0,0,0.0,0
669,1325.0,TC - Tropical Cyclone,Fiji,FJI,1904/1/0,0,0,0,0,0,0,0,0.0,0
670,1324.0,EQ - Earthquake,Samoa,WSM,1902/11/7,0,0,0,0,0,0,0,0.0,0
671,1323.0,EQ - Earthquake,Palau,PLW,1900/10/7,0,0,0,0,0,0,0,0.0,0
672,1322.0,EQ - Earthquake,Tuvalu,TUV,1899/1/15,0,0,0,0,0,0,0,1000000.0,0
673,1321.0,EQ - Earthquake,Kiribati,KIR,1899/1/15,0,0,0,0,0,0,0,1000000.0,0
674,1320.0,EQ - Earthquake,Federated States of Micronesia,FSM,1899/1/15,101,0,0,0,0,0,0,0.0,0
